Date,Open,High,Low,Close
2015-01-01,886.3,892.0,883.65,887.9
2015-01-02,888.1,896.05,884.3,885.55
2015-01-05,885.0,890.9,874.1,875.85
2015-01-06,870.0,873.0,832.0,836.1
2015-01-07,837.1,858.8,837.0,854.3
2015-01-08,860.1,862.9,840.15,842.05
2015-01-09,848.4,862.0,845.0,860.3
2015-01-12,860.5,861.0,841.6,850.3
2015-01-13,853.0,854.95,840.5,843.15
2015-01-14,843.0,847.0,831.2,834.95
2015-01-15,840.0,871.1,840.0,864.25
2015-01-16,860.0,875.0,852.05,869.7
2015-01-19,870.2,886.0,858.75,879.65
2015-01-20,881.5,905.55,878.85,903.05
2015-01-21,905.0,911.4,892.05,906.75
2015-01-22,905.15,907.2,879.5,883.75
2015-01-23,890.0,897.8,877.0,886.9
2015-01-27,892.9,896.7,880.5,889.05
2015-01-28,886.1,909.8,886.1,906.85
2015-01-29,907.1,934.5,906.9,929.4
2015-01-30,930.0,931.25,909.0,915.25
2015-02-02,916.05,919.9,905.7,908.05
2015-02-03,913.2,940.85,913.2,937.6
2015-02-04,939.1,943.8,925.9,928.8
2015-02-05,936.0,939.9,917.6,923.7
2015-02-06,924.1,930.0,903.0,909.9
2015-02-09,901.2,918.0,892.0,896.7
2015-02-10,898.0,904.5,861.3,882.0
2015-02-11,886.0,904.75,883.0,900.7
2015-02-12,908.0,913.95,887.25,909.15
2015-02-13,914.0,920.8,909.05,917.5
2015-02-16,918.7,924.2,900.0,902.8
2015-02-18,900.0,908.0,894.4,901.65
2015-02-19,906.95,907.6,887.55,902.05
2015-02-20,895.25,896.0,871.3,873.1
2015-02-23,869.95,876.75,847.1,851.45
2015-02-24,854.25,856.8,837.0,841.45
2015-02-25,848.8,856.5,841.05,843.15
2015-02-26,846.1,850.0,836.6,842.0
2015-02-27,847.55,861.0,844.6,855.55
2015-02-28,862.8,868.4,846.6,865.15
2015-03-02,869.0,875.5,855.55,864.25
2015-03-03,869.0,906.45,867.4,900.8
2015-03-04,906.0,909.65,880.05,887.85
2015-03-05,892.5,898.75,878.15,884.95
2015-03-09,885.1,891.75,864.15,869.65
2015-03-10,868.95,875.8,855.4,859.15
2015-03-11,860.95,869.6,852.4,855.95
2015-03-12,858.0,867.4,855.6,863.8
2015-03-13,869.0,869.6,847.0,850.1
2015-03-16,851.5,853.95,840.3,842.1
2015-03-17,850.55,859.9,841.0,856.85
2015-03-18,857.0,872.25,854.7,868.65
2015-03-19,875.55,876.7,854.1,856.15
2015-03-20,857.9,861.15,848.6,854.1
2015-03-23,856.5,864.0,838.1,841.95
2015-03-24,842.1,854.3,842.1,847.95
2015-03-25,849.0,849.5,841.0,844.9
2015-03-26,841.1,849.25,824.1,829.3
2015-03-27,833.9,835.0,801.45,811.7
2015-03-30,816.6,817.7,796.45,810.75
2015-03-31,818.0,832.9,818.0,826.0
2015-04-01,824.9,839.0,813.1,836.05
2015-04-06,836.0,838.0,821.4,824.65
2015-04-07,826.05,836.1,826.05,832.85
2015-04-08,833.5,869.5,832.9,865.9
2015-04-09,865.5,899.0,858.8,895.1
2015-04-10,894.95,908.8,889.1,904.35
2015-04-13,906.8,924.75,898.75,922.5
2015-04-15,921.0,939.6,907.2,923.65
2015-04-16,924.5,938.0,919.0,928.35
2015-04-17,935.05,944.3,922.6,926.85
2015-04-20,937.3,937.45,878.5,885.65
2015-04-21,890.15,895.5,872.45,876.45
2015-04-22,881.9,886.75,867.0,879.75
2015-04-23,883.85,889.4,869.05,877.05
2015-04-24,877.0,884.45,868.65,878.9
2015-04-27,880.05,887.5,871.45,875.3
2015-04-28,874.7,882.0,858.55,865.2
2015-04-29,862.0,870.55,847.4,850.0
2015-04-30,850.0,865.9,847.95,862.35
2015-05-04,866.2,893.9,860.5,890.95
2015-05-05,893.7,901.8,885.1,892.15
2015-05-06,890.0,896.75,872.0,880.25
2015-05-07,875.0,878.45,860.0,870.75
2015-05-08,871.0,893.75,861.1,889.7
2015-05-11,892.85,899.45,883.4,895.95
2015-05-12,894.9,894.9,865.15,868.7
2015-05-13,873.35,888.65,857.2,885.1
2015-05-14,886.0,886.2,870.3,878.2
2015-05-15,881.9,886.95,870.1,873.95
2015-05-18,874.9,894.0,872.2,891.55
2015-05-19,891.25,904.75,886.6,895.55
2015-05-20,900.4,911.0,897.7,908.85
2015-05-21,911.25,915.4,894.1,896.75
2015-05-22,897.0,905.6,897.0,903.85
2015-05-25,900.0,908.0,892.35,894.5
2015-05-26,895.0,896.0,882.7,884.6
2015-05-27,886.0,890.9,880.2,885.3
2015-05-28,885.85,894.25,872.0,875.8
2015-05-29,879.9,886.45,873.1,877.0
2015-06-01,880.0,904.9,878.0,902.25
2015-06-02,905.75,918.8,891.45,898.65
2015-06-03,899.0,910.45,888.5,896.35
2015-06-04,904.2,916.2,892.55,912.7
2015-06-05,909.9,916.95,904.45,907.75
2015-06-08,906.8,910.0,883.1,885.45
2015-06-09,883.55,890.65,877.35,883.7
2015-06-10,886.0,909.9,885.0,905.8
2015-06-11,906.0,909.5,873.65,877.15
2015-06-12,879.0,892.7,878.25,889.85
2015-06-15,894.9,905.0,890.0,901.75
2015-06-16,899.0,905.0,893.2,903.95
2015-06-17,905.05,942.35,894.0,931.2
2015-06-18,932.55,982.0,932.5,978.95
2015-06-19,982.5,1006.4,982.5,996.65
2015-06-22,996.95,1008.7,986.5,991.7
2015-06-23,992.65,1002.7,991.0,995.0
2015-06-24,995.0,1006.45,986.65,990.9
2015-06-25,987.0,1009.0,985.0,1004.55
2015-06-26,999.9,1014.1,995.4,1000.7
2015-06-29,987.9,993.85,972.0,990.85
2015-06-30,989.9,1002.85,988.0,1000.1
2015-07-01,1001.0,1010.45,1001.0,1005.65
2015-07-02,1009.0,1019.75,1007.1,1010.85
2015-07-03,1009.75,1013.8,1003.05,1007.2
2015-07-06,996.1,1018.9,995.2,1015.55
2015-07-07,1011.0,1016.6,1000.0,1003.25
2015-07-08,995.85,1008.7,991.65,996.6
2015-07-09,996.0,1001.0,983.15,987.4
2015-07-10,991.1,1004.0,990.25,1001.8
2015-07-13,1001.8,1012.5,995.15,1007.0
2015-07-14,1008.9,1011.5,995.2,997.8
2015-07-15,999.75,1014.4,999.55,1011.15
2015-07-16,1012.0,1027.8,1011.15,1023.7
2015-07-17,1025.25,1031.15,1018.0,1021.7
2015-07-20,1027.8,1029.95,1017.9,1024.75
2015-07-21,1028.0,1028.45,1002.75,1007.8
2015-07-22,1005.0,1053.95,1004.6,1050.4
2015-07-23,1053.5,1067.85,1041.2,1045.3
2015-07-24,1048.0,1049.65,1021.1,1025.05
2015-07-27,1024.9,1029.9,1001.75,1005.35
2015-07-28,1008.3,1016.7,1000.1,1010.25
2015-07-29,1009.5,1012.7,992.1,996.0
2015-07-30,1000.1,1008.0,992.3,1000.15
2015-07-31,1000.0,1007.9,990.0,1001.85
2015-08-03,1001.0,1013.85,999.4,1002.45
2015-08-04,1003.4,1005.65,980.0,988.0
2015-08-05,988.25,1000.8,984.1,987.75
2015-08-06,991.0,992.0,977.5,978.95
2015-08-07,979.0,994.0,977.15,984.35
2015-08-10,984.5,988.8,964.5,968.9
2015-08-11,971.0,973.65,958.0,966.0
2015-08-12,963.6,966.0,940.55,942.9
2015-08-13,947.0,953.95,929.4,933.35
2015-08-14,940.25,972.0,934.3,966.95
2015-08-17,966.0,966.0,946.05,950.7
2015-08-18,956.0,956.0,942.2,944.1
2015-08-19,944.0,961.0,939.45,954.6
2015-08-20,959.95,959.95,913.75,916.3
2015-08-21,910.0,911.9,897.0,907.95
2015-08-24,880.0,880.0,818.0,829.55
2015-08-25,840.85,860.65,823.2,848.15
2015-08-26,847.8,874.8,840.0,853.4
2015-08-27,866.8,881.25,857.05,869.15
2015-08-28,875.0,883.0,866.1,872.4
2015-08-31,872.85,872.85,853.8,855.9
2015-09-01,853.9,853.9,835.1,839.85
2015-09-02,850.0,857.1,842.6,849.55
